2007-10-08 21:13:27 Warning: Warning (2): mysql_connect() [<a href='http://php.net/function.mysql-connect'>function.mysql-connect</a>]: Access denied for user 'clubbons_ledtec'@'localhost' (using password: YES) in [CORE/cake/libs/model/datasources/dbo/dbo_mysql.php, line 100]
2007-10-08 21:13:27 Warning: Warning (2): mysql_select_db(): supplied argument is not a valid MySQL-Link resource in [CORE/cake/libs/model/datasources/dbo/dbo_mysql.php, line 105]
2007-10-08 21:13:27 Warning: Warning (2): mysql_query(): supplied argument is not a valid MySQL-Link resource in [CORE/cake/libs/model/datasources/dbo/dbo_mysql.php, line 134]
2007-10-08 21:13:27 Warning: Warning (2): session_start() [<a href='http://php.net/function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at /home/clubbons/cake/basics.php:747) in [CORE/cake/libs/session.php, line 154]
2007-10-08 21:13:27 Warning: Warning (2): session_start() [<a href='http://php.net/function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /home/clubbons/cake/basics.php:747) in [CORE/cake/libs/session.php, line 154]
2007-10-08 21:13:27 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/clubbons/cake/basics.php:747) in [CORE/cake/libs/session.php, line 155]
2007-11-12 04:56:51 Warning: Warning (512): <span style = "color:Red;text-align:left"><b>SQL Error:</b> 1054: Unknown column 'Categoria.archivo_img' in 'field list'</span> in [CORE/cake/libs/model/datasources/dbo_source.php, line 463]
2007-11-12 13:08:15 Warning: Warning (2): session_destroy() [<a href='http://php.net/function.session-destroy'>function.session-destroy</a>]: Session object destruction failed in [CORE/cake/libs/session.php, line 517]
2007-11-12 13:08:15 Warning: Warning (2): session_start() [<a href='http://php.net/function.session-start'>function.session-start</a>]: Cannot send session cookie - headers already sent by (output started at /home/clubbons/cake/basics.php:747) in [CORE/cake/libs/session.php, line 522]
2007-11-12 13:08:15 Warning: Warning (2): session_start() [<a href='http://php.net/function.session-start'>function.session-start</a>]: Cannot send session cache limiter - headers already sent (output started at /home/clubbons/cake/basics.php:747) in [CORE/cake/libs/session.php, line 522]
2007-11-14 07:27:01 Warning: Warning (2): Cannot modify header information - headers already sent by (output started at /home/clubbons/cake/basics.php:747) in [CORE/public_html/ledtec/app/views/layouts/xml.ctp, line 1]
